"Date","Price","Open","High","Low","Vol.","Change %"
"2024/09/17","83,032.71","82,298.64","83,247.96","82,007.34","226.92M","1.25%"
"2024/09/16","82,007.34","81,907.39","82,315.77","81,907.39","244.22M","0.04%"
"2024/09/13","81,978.59","81,979.41","82,160.68","81,668.39","265.03M","0.38%"
"2024/09/12","81,668.39","81,649.21","82,037.50","80,827.79","269.43M","1.04%"
"2024/09/11","80,827.79","81,456.64","81,641.90","80,538.94","307.10M","-1.00%"
"2024/09/10","81,641.90","81,300.66","81,730.24","81,150.00","253.29M","0.25%"
"2024/09/09","81,441.63","81,430.90","81,975.29","81,339.39","207.06M","0.09%"
"2024/09/06","81,364.89","81,794.47","82,146.83","81,364.89","208.68M","-0.95%"
"2024/09/05","82,146.83","81,758.92","82,244.53","81,398.34","252.34M","0.28%"
"2024/09/04","81,915.38","81,724.78","82,156.76","81,616.83","309.57M","-0.29%"
"2024/09/03","82,156.76","83,331.28","83,603.13","82,082.58","264.91M","-1.59%"
"2024/09/02","83,483.36","83,540.05","83,749.86","83,138.75","198.50M","-0.32%"
"2024/08/30","83,749.86","84,397.80","84,462.51","83,433.57","290.92M","-0.58%"
"2024/08/29","84,239.42","83,928.61","84,431.80","83,906.23","205.73M","0.26%"
"2024/08/28","84,018.65","84,363.25","84,639.24","83,932.83","235.32M","-0.63%"
"2024/08/27","84,553.54","84,263.35","84,670.69","84,181.23","198.67M","0.43%"
"2024/08/26","84,193.95","84,452.13","84,520.66","84,073.91","201.80M","-0.19%"
"2024/08/23","84,351.57","83,986.18","84,663.62","83,620.81","225.07M","0.87%"
"2024/08/22","83,620.81","84,155.05","84,800.50","83,596.97","180.20M","-0.48%"
"2024/08/21","84,026.18","84,034.11","84,197.24","83,783.30","179.16M","0.29%"
"2024/08/20","83,783.30","83,748.40","84,215.43","83,651.81","186.89M","-0.02%"
"2024/08/19","83,799.30","83,013.26","83,955.76","82,824.44","207.37M","1.18%"
"2024/08/16","82,824.44","82,719.93","83,169.68","82,226.43","247.70M","0.73%"
"2024/08/15","82,226.43","81,380.14","82,868.63","81,380.14","215.57M","1.01%"
"2024/08/14","81,402.32","80,740.19","81,827.99","80,740.19","300.34M","0.55%"
"2024/08/13","80,956.22","80,657.86","80,956.22","80,259.19","185.18M","0.49%"
"2024/08/12","80,560.78","81,034.59","81,034.59","80,398.39","162.23M","-0.22%"
"2024/08/08","80,739.31","79,919.04","80,853.42","79,503.96","287.24M","0.47%"
"2024/08/07","80,364.86","79,817.01","80,405.49","79,430.05","227.18M","1.18%"
"2024/08/06","79,430.05","79,513.22","79,736.45","78,675.95","221.07M","-0.19%"
"2024/08/05","79,577.61","78,961.96","80,538.57","78,306.84","297.99M","-1.19%"
"2024/08/02","80,538.57","81,450.91","81,868.82","80,495.12","213.14M","-1.62%"
"2024/08/01","81,868.82","82,844.47","82,881.44","81,799.99","215.48M","-1.08%"
"2024/07/31","82,765.12","81,640.71","82,765.12","81,198.64","257.92M","1.93%"
"2024/07/30","81,198.64","80,825.42","81,374.83","80,697.10","205.17M","0.23%"
"2024/07/29","81,011.65","81,262.30","81,542.07","80,957.82","180.80M","-0.13%"
"2024/07/26","81,120.51","80,755.35","81,253.06","80,640.01","191.68M","0.55%"
"2024/07/25","80,678.20","79,807.84","80,678.20","79,516.29","173.50M","0.10%"
"2024/07/24","80,595.14","80,486.02","80,816.32","80,366.77","174.94M","-0.14%"
